电影,实时票房,总票房,图片,主演,时间
异形：夺命舰,694.5,6.68,https://p0.pipi.cn/basicdata/54ecde33f2ac69030c8077342c3ea64b98549.jpg?imageView2/1/w/160/h/220,"卡莉·史派妮,戴维·荣松,阿奇·雷诺",2024-08-16
重生,660.3,3.27,https://p0.pipi.cn/basicdata/54ecde33b1206d92578077d6fd4c138c5a74b.jpg?imageView2/1/w/160/h/220,"张家辉,阮经天,张榕容",2024-08-16
逆鳞,352.6,1.44,https://p0.pipi.cn/basicdata/54ecde33d7c0fa0e13537c392f704f430d934.jpg?imageView2/1/w/160/h/220,"沈腾,张雨绮,高捷",2024-08-23
抓娃娃,302.8,32.65,https://p0.pipi.cn/basicdata/54ecde3351b06de5bc16bd5e371e12bac3793.jpg?imageView2/1/w/160/h/220,"沈腾,马丽,史彭元",2024-07-16
姥姥的外孙,301.4,7934.0,https://p0.pipi.cn/basicdata/54ecde332c9ddd338f51ba0e368af8eae239b.jpg?imageView2/1/w/160/h/220,"普提蓬·阿萨拉塔纳功,乌萨·萨梅坎姆,彤达婉·奔提维此弓",2024-08-23
刺猬,203.8,1.28,https://p0.pipi.cn/basicdata/54ecde330300fa313911e56c4738fae64e276.jpg?imageView2/1/w/160/h/220,"葛优,王俊凯,李萍",2024-08-23
白蛇：浮生,144.1,3.98,https://p0.pipi.cn/basicdata/54ecde3387ac7e7e12f0ee26fb35b7ab3f1a0.jpg?imageView2/1/w/160/h/220,"张喆,杨天翔,唐小喜",2024-08-10
名侦探柯南：百万美元的五棱星,137.3,2.55,https://p0.pipi.cn/basicdata/54ecde330faf2ac7ed338ff5e29ae967d4121.jpg?imageView2/1/w/160/h/220,"高山南,山崎和佳奈,小山力也",2024-08-16
逆行人生,81.9,3.47,https://p0.pipi.cn/basicdata/54ecde33d7c51b7e12be2abd5c5525b7cd6f3.jpg?imageView2/1/w/160/h/220,"徐峥,辛芷蕾,王骁",2024-08-09
通往夏天的隧道，再见的出口,54.1,1163.0,https://p0.pipi.cn/basicdata/54ecde33c69c7ec9fd300bb326d6521cef778.jpg?imageView2/1/w/160/h/220,"铃鹿央士,饭丰万理江,小宫有纱",2024-08-30
